epoch,loss,accuracy,val_loss,val_accuracy
1,3.048265457,0.204012901,1.883519173,0.171164766
2,2.848055124,0.251515478,2.104817867,0.288210213
3,2.69601655,0.286575198,1.87399435,0.251562506
4,2.593638182,0.324435472,1.743741989,0.278977275
5,2.514339209,0.352688849,1.630072951,0.340198874
6,2.459715605,0.368641227,1.922258258,0.248721585
7,2.401638985,0.389769226,1.564884424,0.379829556
8,2.341901541,0.405260742,1.619389653,0.336363643
9,2.298801422,0.419405162,1.519654512,0.395596594
10,2.23889184,0.434435815,1.561386228,0.395028412
11,2.199640751,0.449750066,1.543407917,0.387642056
12,2.141461611,0.465808779,1.831233025,0.274147719
13,2.111592293,0.472579688,1.509344816,0.393039763
14,2.06867528,0.488319337,1.504562259,0.422017038
15,2.016827822,0.501081228,1.441423535,0.439914763
16,1.975629449,0.511467993,1.464798808,0.430397719
17,1.945691466,0.523698092,1.428251266,0.4453125
18,1.900978923,0.531886995,1.538606524,0.426988631
19,1.867714763,0.540749431,1.556147575,0.403267056
20,1.830688477,0.553156793,1.342600346,0.477130681
21,1.79306078,0.564819753,1.337361097,0.489062488
22,1.75037837,0.574072123,1.31423521,0.505681813
23,1.720709324,0.582119167,1.52744472,0.420312494
24,1.675971627,0.597858846,1.29005456,0.505965889
25,1.642219782,0.604913354,1.456364989,0.465198874
26,1.61482811,0.60998261,1.450130343,0.482102275
27,1.565542459,0.624091625,1.447236776,0.471875012
28,1.531797171,0.632776797,1.379848838,0.496590912
29,1.494453907,0.641497374,1.527019978,0.453977287
30,1.461228251,0.652876735,1.475574851,0.473579556
31,1.426472187,0.660356641,1.378059506,0.495170444
32,1.393206358,0.667411089,1.376906633,0.520312488
33,1.349631429,0.679499447,1.385834098,0.503977299
34,1.325392604,0.687440157,1.487213016,0.487500012
35,1.275595069,0.701265574,1.922258139,0.433380693
36,1.243076921,0.702896237,1.516296148,0.504261374
37,1.235758901,0.705058694,1.526033521,0.483664781
38,1.192157149,0.719841182,1.385937095,0.543039799
39,1.164781928,0.722535372,1.443855643,0.530539751
40,1.115500689,0.738381386,1.662391663,0.452130675
